!Keysight Technologies,E4990A,MY54403861,A.04.00
!Date: Wed Mar 26 11:24:29 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+9.50000000000e+005, +6.08781245395e+001, -8.08687569187e+001
+9.50112500000e+005, +6.07001272366e+001, -8.08768862946e+001
+9.50225000000e+005, +6.05281846157e+001, -8.08945298052e+001
+9.50337500000e+005, +6.03500890019e+001, -8.09234622372e+001
+9.50450000000e+005, +6.01609765807e+001, -8.09547221857e+001
+9.50562500000e+005, +5.99607832286e+001, -8.09808694123e+001
+9.50675000000e+005, +5.97584506099e+001, -8.09979705487e+001
+9.50787500000e+005, +5.95584738478e+001, -8.10070393207e+001
+9.50900000000e+005, +5.93679913777e+001, -8.10117720631e+001
+9.51012500000e+005, +5.91767491087e+001, -8.10135488566e+001
+9.51125000000e+005, +5.89907234380e+001, -8.10180195215e+001
+9.51237500000e+005, +5.88071960046e+001, -8.10202413958e+001
+9.51350000000e+005, +5.86252666977e+001, -8.10223384496e+001
+9.51462500000e+005, +5.84461730038e+001, -8.10251526277e+001
+9.51575000000e+005, +5.82695311613e+001, -8.10286565629e+001
+9.51687500000e+005, +5.80943145064e+001, -8.10337828583e+001
+9.51800000000e+005, +5.79145690018e+001, -8.10399249695e+001
+9.51912500000e+005, +5.77347810842e+001, -8.10453800751e+001
+9.52025000000e+005, +5.75527549949e+001, -8.10464818504e+001
+9.52137500000e+005, +5.73686814180e+001, -8.10455397476e+001
+9.52250000000e+005, +5.71865408529e+001, -8.10396452228e+001
+9.52362500000e+005, +5.70075758785e+001, -8.10288301365e+001
+9.52475000000e+005, +5.68307039244e+001, -8.10144382616e+001
+9.52587500000e+005, +5.66558346453e+001, -8.09998095977e+001
+9.52700000000e+005, +5.64870930147e+001, -8.09826262102e+001
+9.52812500000e+005, +5.63191817289e+001, -8.09648019912e+001
+9.52925000000e+005, +5.61543792047e+001, -8.09458254293e+001
+9.53037500000e+005, +5.59908988445e+001, -8.09244551245e+001
+9.53150000000e+005, +5.58302000346e+001, -8.09043559534e+001
+9.53262500000e+005, +5.56725781180e+001, -8.08799651377e+001
+9.53375000000e+005, +5.55181557187e+001, -8.08568482656e+001
+9.53487500000e+005, +5.53662936247e+001, -8.08344371881e+001
+9.53600000000e+005, +5.52203027686e+001, -8.08132223437e+001
+9.53712500000e+005, +5.50750399572e+001, -8.07944554632e+001
+9.53825000000e+005, +5.49263222016e+001, -8.07773618784e+001
+9.53937500000e+005, +5.47807403730e+001, -8.07616814835e+001
+9.54050000000e+005, +5.46322404970e+001, -8.07458156181e+001
+9.54162500000e+005, +5.44831899443e+001, -8.07275335010e+001
+9.54275000000e+005, +5.43325421668e+001, -8.07086143888e+001
+9.54387500000e+005, +5.41842617016e+001, -8.06836470962e+001
+9.54500000000e+005, +5.40373785384e+001, -8.06604210603e+001
+9.54612500000e+005, +5.38909219773e+001, -8.06349050597e+001
+9.54725000000e+005, +5.37469304668e+001, -8.06076797492e+001
+9.54837500000e+005, +5.36043005512e+001, -8.05761132074e+001
+9.54950000000e+005, +5.34645249947e+001, -8.05447710841e+001
+9.55062500000e+005, +5.33221860086e+001, -8.05135285770e+001
+9.55175000000e+005, +5.31847400650e+001, -8.04817892048e+001
+9.55287500000e+005, +5.30455314640e+001, -8.04430045824e+001
+9.55400000000e+005, +5.29133187973e+001, -8.04025324336e+001
+9.55512500000e+005, +5.27831966057e+001, -8.03637415537e+001
+9.55625000000e+005, +5.26545380281e+001, -8.03204686191e+001
+9.55737500000e+005, +5.25283718481e+001, -8.02811191294e+001
+9.55850000000e+005, +5.24068611820e+001, -8.02368400105e+001
+9.55962500000e+005, +5.22848446997e+001, -8.01942674390e+001
+9.56075000000e+005, +5.21680532397e+001, -8.01485975543e+001
+9.56187500000e+005, +5.20513488309e+001, -8.01019388876e+001
+9.56300000000e+005, +5.19396639620e+001, -8.00565887915e+001
+9.56412500000e+005, +5.18305933139e+001, -8.00092407405e+001
+9.56525000000e+005, +5.17259669067e+001, -7.99594303427e+001
+9.56637500000e+005, +5.16229147969e+001, -7.99116939895e+001
+9.56750000000e+005, +5.15264667045e+001, -7.98650000765e+001
+9.56862500000e+005, +5.14340051057e+001, -7.98170612657e+001
+9.56975000000e+005, +5.13417514275e+001, -7.97725046722e+001
+9.57087500000e+005, +5.12553550625e+001, -7.97273490949e+001
+9.57200000000e+005, +5.11737465506e+001, -7.96856091994e+001
+9.57312500000e+005, +5.10959250340e+001, -7.96444357097e+001
+9.57425000000e+005, +5.10198902582e+001, -7.96067601757e+001
+9.57537500000e+005, +5.09477906312e+001, -7.95740200024e+001
+9.57650000000e+005, +5.08790219385e+001, -7.95436435443e+001
+9.57762500000e+005, +5.08102596696e+001, -7.95164709329e+001
+9.57875000000e+005, +5.07445901979e+001, -7.94928125721e+001
+9.57987500000e+005, +5.06812600566e+001, -7.94723766018e+001
+9.58100000000e+005, +5.06184485286e+001, -7.94559312477e+001
+9.58212500000e+005, +5.05577919511e+001, -7.94388510851e+001
+9.58325000000e+005, +5.05004386748e+001, -7.94268016579e+001
+9.58437500000e+005, +5.04454421281e+001, -7.94190131871e+001
+9.58550000000e+005, +5.03920523097e+001, -7.94146189367e+001
+9.58662500000e+005, +5.03428263090e+001, -7.94161279569e+001
