Frequency (Hz)	Amplitude (m)	Phase Angle (deg)	Real (m)	Imaginary (m)
36020	9.2378e-010	180.	-9.2378e-010	0.
36040	9.3046e-010	180.	-9.3046e-010	0.
36060	9.3725e-010	180.	-9.3725e-010	0.
36080	9.4413e-010	180.	-9.4413e-010	0.
36100	9.5111e-010	180.	-9.5111e-010	0.
36120	9.582e-010	180.	-9.582e-010	0.
36140	9.6539e-010	180.	-9.6539e-010	0.
36160	9.727e-010	180.	-9.727e-010	0.
36180	9.8011e-010	180.	-9.8011e-010	0.
36200	9.8764e-010	180.	-9.8764e-010	0.
36220	9.9529e-010	180.	-9.9529e-010	0.
36240	1.0031e-009	180.	-1.0031e-009	0.
36260	1.0109e-009	180.	-1.0109e-009	0.
36280	1.019e-009	180.	-1.019e-009	0.
36300	1.0271e-009	180.	-1.0271e-009	0.
36320	1.0354e-009	180.	-1.0354e-009	0.
36340	1.0438e-009	180.	-1.0438e-009	0.
36360	1.0523e-009	180.	-1.0523e-009	0.
36380	1.061e-009	180.	-1.061e-009	0.
36400	1.0699e-009	180.	-1.0699e-009	0.
36420	1.0788e-009	180.	-1.0788e-009	0.
36440	1.088e-009	180.	-1.088e-009	0.
36460	1.0973e-009	180.	-1.0973e-009	0.
36480	1.1067e-009	180.	-1.1067e-009	0.
36500	1.1163e-009	180.	-1.1163e-009	0.
36520	1.1261e-009	180.	-1.1261e-009	0.
36540	1.1361e-009	180.	-1.1361e-009	0.
36560	1.1462e-009	180.	-1.1462e-009	0.
36580	1.1566e-009	180.	-1.1566e-009	0.
36600	1.1671e-009	180.	-1.1671e-009	0.
36620	1.1778e-009	180.	-1.1778e-009	0.
36640	1.1887e-009	180.	-1.1887e-009	0.
36660	1.1998e-009	180.	-1.1998e-009	0.
36680	1.2111e-009	180.	-1.2111e-009	0.
36700	1.2226e-009	180.	-1.2226e-009	0.
36720	1.2344e-009	180.	-1.2344e-009	0.
36740	1.2464e-009	180.	-1.2464e-009	0.
36760	1.2586e-009	180.	-1.2586e-009	0.
36780	1.2711e-009	180.	-1.2711e-009	0.
36800	1.2839e-009	180.	-1.2839e-009	0.
36820	1.2969e-009	180.	-1.2969e-009	0.
36840	1.3102e-009	180.	-1.3102e-009	0.
36860	1.3238e-009	180.	-1.3238e-009	0.
36880	1.3379e-009	180.	-1.3379e-009	0.
36900	1.3527e-009	180.	-1.3527e-009	0.
36920	1.3726e-009	180.	-1.3726e-009	0.
36940	1.3786e-009	180.	-1.3786e-009	0.
36960	1.3941e-009	180.	-1.3941e-009	0.
36980	1.4097e-009	180.	-1.4097e-009	0.
37000	1.4256e-009	180.	-1.4256e-009	0.
37020	1.4417e-009	180.	-1.4417e-009	0.
37040	1.4582e-009	180.	-1.4582e-009	0.
37060	1.475e-009	180.	-1.475e-009	0.
37080	1.4921e-009	180.	-1.4921e-009	0.
37100	1.5097e-009	180.	-1.5097e-009	0.
37120	1.5277e-009	180.	-1.5277e-009	0.
37140	1.5461e-009	180.	-1.5461e-009	0.
37160	1.565e-009	180.	-1.565e-009	0.
37180	1.5843e-009	180.	-1.5843e-009	0.
37200	1.6041e-009	180.	-1.6041e-009	0.
37220	1.6244e-009	180.	-1.6244e-009	0.
37240	1.6453e-009	180.	-1.6453e-009	0.
37260	1.6666e-009	180.	-1.6666e-009	0.
37280	1.6886e-009	180.	-1.6886e-009	0.
37300	1.7111e-009	180.	-1.7111e-009	0.
37320	1.7342e-009	180.	-1.7342e-009	0.
