
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   13:41:08  NOV 27, 2025 CP=      0.922

 simulazioneTrasduttoreUltrasonico--Harmonic Response (D3)                     



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
    52020.       0.00000       0.00000      -898.727       0.00000     
    52040.       0.00000       0.00000      -896.631       0.00000     
    52060.       0.00000       0.00000      -894.505       0.00000     
    52080.       0.00000       0.00000      -892.345       0.00000     
    52100.       0.00000       0.00000      -890.153       0.00000     
    52120.       0.00000       0.00000      -887.925       0.00000     
    52140.       0.00000       0.00000      -885.661       0.00000     
    52160.       0.00000       0.00000      -883.359       0.00000     
    52180.       0.00000       0.00000      -881.019       0.00000     
    52200.       0.00000       0.00000      -878.639       0.00000     
    52220.       0.00000       0.00000      -876.217       0.00000     
    52240.       0.00000       0.00000      -873.752       0.00000     
    52260.       0.00000       0.00000      -871.242       0.00000     
    52280.       0.00000       0.00000      -868.686       0.00000     
    52300.       0.00000       0.00000      -866.083       0.00000     
    52320.       0.00000       0.00000      -863.430       0.00000     
    52340.       0.00000       0.00000      -860.725       0.00000     
    52360.       0.00000       0.00000      -857.968       0.00000     
    52380.       0.00000       0.00000      -855.155       0.00000     
    52400.       0.00000       0.00000      -852.285       0.00000     
    52420.       0.00000       0.00000      -849.355       0.00000     
    52440.       0.00000       0.00000      -846.364       0.00000     
    52460.       0.00000       0.00000      -843.308       0.00000     
    52480.       0.00000       0.00000      -840.186       0.00000     
    52500.       0.00000       0.00000      -836.995       0.00000     
    52520.       0.00000       0.00000      -833.732       0.00000     
    52540.       0.00000       0.00000      -830.394       0.00000     
    52560.       0.00000       0.00000      -826.977       0.00000     
    52580.       0.00000       0.00000      -823.479       0.00000     
    52600.       0.00000       0.00000      -819.897       0.00000     
    52620.       0.00000       0.00000      -816.226       0.00000     
    52640.       0.00000       0.00000      -812.463       0.00000     
    52660.       0.00000       0.00000      -808.604       0.00000     
    52680.       0.00000       0.00000      -804.644       0.00000     
    52700.       0.00000       0.00000      -800.579       0.00000     
    52720.       0.00000       0.00000      -796.404       0.00000     
    52740.       0.00000       0.00000      -792.114       0.00000     
    52760.       0.00000       0.00000      -787.703       0.00000     
    52780.       0.00000       0.00000      -783.166       0.00000     
    52800.       0.00000       0.00000      -778.496       0.00000     
    52820.       0.00000       0.00000      -773.687       0.00000     
    52840.       0.00000       0.00000      -768.732       0.00000     
    52860.       0.00000       0.00000      -763.623       0.00000     
    52880.       0.00000       0.00000      -758.352       0.00000     
    52900.       0.00000       0.00000      -752.911       0.00000     
    52920.       0.00000       0.00000      -747.290       0.00000     
    52940.       0.00000       0.00000      -741.479       0.00000     
    52960.       0.00000       0.00000      -735.468       0.00000     
    52980.       0.00000       0.00000      -729.246       0.00000     
    53000.       0.00000       0.00000      -722.799       0.00000     
    53020.       0.00000       0.00000      -716.115       0.00000     
    53040.       0.00000       0.00000      -709.179       0.00000     
    53060.       0.00000       0.00000      -701.975       0.00000     
    53080.       0.00000       0.00000      -694.487       0.00000     
    53100.       0.00000       0.00000      -686.695       0.00000     
    53120.       0.00000       0.00000      -678.581       0.00000     
    53140.       0.00000       0.00000      -670.122       0.00000     
    53160.       0.00000       0.00000      -661.294       0.00000     
    53180.       0.00000       0.00000      -652.072       0.00000     
    53200.       0.00000       0.00000      -642.426       0.00000     
    53220.       0.00000       0.00000      -632.325       0.00000     
    53240.       0.00000       0.00000      -621.734       0.00000     
    53260.       0.00000       0.00000      -610.616       0.00000     
    53280.       0.00000       0.00000      -598.927       0.00000     
    53300.       0.00000       0.00000      -586.621       0.00000     
    53320.       0.00000       0.00000      -573.645       0.00000     
    53340.       0.00000       0.00000      -559.941       0.00000     
    53360.       0.00000       0.00000      -545.443       0.00000     
    53380.       0.00000       0.00000      -530.078       0.00000     
    53400.       0.00000       0.00000      -513.763       0.00000     
    53420.       0.00000       0.00000      -496.404       0.00000     
    53440.       0.00000       0.00000      -477.893       0.00000     
    53460.       0.00000       0.00000      -458.110       0.00000     
    53480.       0.00000       0.00000      -436.915       0.00000     
    53500.       0.00000       0.00000      -414.147       0.00000     
    53520.       0.00000       0.00000      -389.620       0.00000     
    53540.       0.00000       0.00000      -363.118       0.00000     
    53560.       0.00000       0.00000      -334.386       0.00000     
    53580.       0.00000       0.00000      -303.125       0.00000     
    53600.       0.00000       0.00000      -268.981       0.00000     
    53620.       0.00000       0.00000      -231.528       0.00000     
    53640.       0.00000       0.00000      -190.254       0.00000     
    53660.       0.00000       0.00000      -144.533       0.00000     
    53680.       0.00000       0.00000      -93.5988       0.00000     
    53700.       0.00000       0.00000      -36.4934       0.00000     
    53720.       0.00000       0.00000       27.9882       0.00000     
    53740.       0.00000       0.00000       101.387       0.00000     
    53760.       0.00000       0.00000       185.707       0.00000     
    53780.       0.00000       0.00000       283.599       0.00000     
    53800.       0.00000       0.00000       398.648       0.00000     
    53820.       0.00000       0.00000       535.825       0.00000     
    53840.       0.00000       0.00000       702.224       0.00000     
    53860.       0.00000       0.00000       908.336       0.00000     
    53880.       0.00000       0.00000       1170.36       0.00000     
    53900.       0.00000       0.00000       1514.68       0.00000     
    53920.       0.00000       0.00000       1987.39       0.00000     
    53940.       0.00000       0.00000       2676.91       0.00000     
    53960.       0.00000       0.00000       3777.04       0.00000     
    53980.       0.00000       0.00000       5810.59       0.00000     
    54000.       0.00000       0.00000       10842.3       0.00000     
