
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   19:24:14  NOV 29, 2025 CP=      1.375

 simulazioneTrasduttoreUltrasonicoConConcentratore--Harmonic Response (D3)     



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
    15570.       0.00000       0.00000      -3736.39       0.00000     
    16140.       0.00000       0.00000      -3599.62       0.00000     
    16710.       0.00000       0.00000      -3471.26       0.00000     
    17280.       0.00000       0.00000      -3350.14       0.00000     
    17850.       0.00000       0.00000      -3235.08       0.00000     
    18420.       0.00000       0.00000      -3124.71       0.00000     
    18990.       0.00000       0.00000      -3017.20       0.00000     
    19560.       0.00000       0.00000      -2909.41       0.00000     
    20130.       0.00000       0.00000      -2794.81       0.00000     
    20700.       0.00000       0.00000      -2653.63       0.00000     
    21270.       0.00000       0.00000      -2374.92       0.00000     
    21840.       0.00000       0.00000      -4751.93       0.00000     
    22410.       0.00000       0.00000      -2880.35       0.00000     
    22980.       0.00000       0.00000      -2686.96       0.00000     
    23550.       0.00000       0.00000      -2577.57       0.00000     
    24120.       0.00000       0.00000      -2493.52       0.00000     
    24690.       0.00000       0.00000      -2421.52       0.00000     
    25260.       0.00000       0.00000      -2356.80       0.00000     
    25830.       0.00000       0.00000      -2297.17       0.00000     
    26400.       0.00000       0.00000      -2241.45       0.00000     
    26970.       0.00000       0.00000      -2188.91       0.00000     
    27540.       0.00000       0.00000      -2139.05       0.00000     
    28110.       0.00000       0.00000      -2091.52       0.00000     
    28680.       0.00000       0.00000      -2046.03       0.00000     
    29250.       0.00000       0.00000      -2002.37       0.00000     
    29820.       0.00000       0.00000      -1960.25       0.00000     
    30390.       0.00000       0.00000      -1919.75       0.00000     
    30960.       0.00000       0.00000      -1880.45       0.00000     
    31530.       0.00000       0.00000      -1842.26       0.00000     
    32100.       0.00000       0.00000      -1805.03       0.00000     
    32670.       0.00000       0.00000      -1768.57       0.00000     
    33240.       0.00000       0.00000      -1732.64       0.00000     
    33810.       0.00000       0.00000      -1696.99       0.00000     
    34380.       0.00000       0.00000      -1661.25       0.00000     
    34950.       0.00000       0.00000      -1624.87       0.00000     
    35520.       0.00000       0.00000      -1587.04       0.00000     
    36090.       0.00000       0.00000      -1546.32       0.00000     
    36660.       0.00000       0.00000      -1499.99       0.00000     
    37230.       0.00000       0.00000      -1442.02       0.00000     
    37800.       0.00000       0.00000      -1355.58       0.00000     
    38370.       0.00000       0.00000      -1169.02       0.00000     
    38940.       0.00000       0.00000       469.939       0.00000     
    39510.       0.00000       0.00000      -2054.29       0.00000     
    40080.       0.00000       0.00000      -1711.39       0.00000     
    40650.       0.00000       0.00000      -1600.23       0.00000     
    41220.       0.00000       0.00000      -1537.09       0.00000     
    41790.       0.00000       0.00000      -1492.14       0.00000     
    42360.       0.00000       0.00000      -1456.19       0.00000     
    42930.       0.00000       0.00000      -1425.43       0.00000     
    43500.       0.00000       0.00000      -1398.03       0.00000     
    44070.       0.00000       0.00000      -1372.95       0.00000     
    44640.       0.00000       0.00000      -1349.59       0.00000     
    45210.       0.00000       0.00000      -1327.55       0.00000     
    45780.       0.00000       0.00000      -1306.56       0.00000     
    46350.       0.00000       0.00000      -1286.41       0.00000     
    46920.       0.00000       0.00000      -1266.96       0.00000     
    47490.       0.00000       0.00000      -1248.07       0.00000     
    48060.       0.00000       0.00000      -1229.66       0.00000     
    48263.       0.00000       0.00000      -1223.19       0.00000     
    48630.       0.00000       0.00000      -1211.61       0.00000     
    49200.       0.00000       0.00000      -1193.83       0.00000     
    49770.       0.00000       0.00000      -1176.20       0.00000     
    50340.       0.00000       0.00000      -1158.62       0.00000     
    50910.       0.00000       0.00000      -1140.92       0.00000     
    51480.       0.00000       0.00000      -1122.93       0.00000     
    52050.       0.00000       0.00000      -1104.33       0.00000     
    52620.       0.00000       0.00000      -1084.71       0.00000     
    53190.       0.00000       0.00000      -1063.37       0.00000     
    53760.       0.00000       0.00000      -1039.11       0.00000     
    54330.       0.00000       0.00000      -1009.53       0.00000     
    54900.       0.00000       0.00000      -969.203       0.00000     
    55470.       0.00000       0.00000      -902.379       0.00000     
    56040.       0.00000       0.00000      -736.385       0.00000     
    56610.       0.00000       0.00000       2368.37       0.00000     
