
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   15:00:54  DEC 06, 2025 CP=      1.875

 simulazioneTrasduttoreUltrasonicoConConcentratore--Harmonic Response (E3)     



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
    15100.       0.00000       0.00000      -3857.84       0.00000     
    15200.       0.00000       0.00000      -3831.73       0.00000     
    15300.       0.00000       0.00000      -3805.94       0.00000     
    15400.       0.00000       0.00000      -3780.46       0.00000     
    15500.       0.00000       0.00000      -3755.29       0.00000     
    15600.       0.00000       0.00000      -3730.43       0.00000     
    15700.       0.00000       0.00000      -3705.85       0.00000     
    15800.       0.00000       0.00000      -3681.57       0.00000     
    15900.       0.00000       0.00000      -3657.56       0.00000     
    16000.       0.00000       0.00000      -3633.83       0.00000     
    16100.       0.00000       0.00000      -3610.37       0.00000     
    16200.       0.00000       0.00000      -3587.16       0.00000     
    16300.       0.00000       0.00000      -3564.22       0.00000     
    16400.       0.00000       0.00000      -3541.52       0.00000     
    16500.       0.00000       0.00000      -3519.07       0.00000     
    16600.       0.00000       0.00000      -3496.85       0.00000     
    16700.       0.00000       0.00000      -3474.86       0.00000     
    16800.       0.00000       0.00000      -3453.10       0.00000     
    16900.       0.00000       0.00000      -3431.56       0.00000     
    17000.       0.00000       0.00000      -3410.23       0.00000     
    17100.       0.00000       0.00000      -3389.10       0.00000     
    17200.       0.00000       0.00000      -3368.18       0.00000     
    17300.       0.00000       0.00000      -3347.45       0.00000     
    17400.       0.00000       0.00000      -3326.90       0.00000     
    17500.       0.00000       0.00000      -3306.54       0.00000     
    17600.       0.00000       0.00000      -3286.34       0.00000     
    17700.       0.00000       0.00000      -3266.32       0.00000     
